Year,Stocks,Bonds,Cash,Inflation,Downside
1928,0.4381116,0.008354709,0.0308,-0.0115607,FALSE
1929,-0.0829795,0.042038042,0.0316,0.005848,TRUE
1930,-0.2512364,0.045409314,0.0455,-0.0639535,TRUE
1931,-0.4383755,-0.02558856,0.0231,-0.0931677,TRUE
1932,-0.0864236,0.08790307,0.0107,-0.1027397,TRUE
1933,0.4998223,0.018552721,0.0096,0.0076336,FALSE
1934,-0.0118857,0.079634426,0.0027833,0.0151515,FALSE
1935,0.4674042,0.044720477,0.001675,0.0298507,FALSE
1936,0.3194341,0.050178754,0.001725,0.0144928,TRUE
1937,-0.3533673,0.013791461,0.0027583,0.0285714,TRUE
1938,0.2928265,0.042132485,0.00065,-0.0277778,TRUE
1939,-0.0109756,0.044122614,0.0004583,0,FALSE
1940,-0.1067287,0.054024816,0.0003583,0.0071429,TRUE
1941,-0.1277146,-0.020221976,0.0012917,0.0992908,TRUE
1942,0.1917376,0.022948682,0.003425,0.0903226,TRUE
1943,0.2506131,0.0249,0.0038,0.0295858,FALSE
1944,0.1903068,0.025776112,0.0038,0.0229885,TRUE
1945,0.3582108,0.038044173,0.0038,0.0224719,FALSE
1946,-0.0842915,0.031283745,0.0038,0.1813187,TRUE
1947,0.052,0.009196968,0.0060083,0.0883721,FALSE
1948,0.0570458,0.019510369,0.01045,0.0299145,FALSE
1949,0.1830322,0.046634852,0.01115,-0.0207469,FALSE
1950,0.3080554,0.004295957,0.0120333,0.059322,TRUE
1951,0.2367846,-0.002953139,0.015175,0.06,FALSE
1952,0.1815099,0.022679962,0.017225,0.0075472,FALSE
1953,-0.012082,0.041438403,0.0189083,0.0074906,FALSE
1954,0.5256332,0.032898035,0.0093752,-0.0074349,FALSE
1955,0.3259733,-0.013364391,0.0172434,0.0037453,TRUE
1956,0.0743951,-0.022557738,0.0262139,0.0298507,FALSE
1957,-0.1045736,0.067970128,0.0322457,0.0289855,TRUE
1958,0.4371995,-0.020990182,0.0176655,0.0176056,FALSE
1959,0.1205646,-0.026466313,0.0338602,0.017301,TRUE
1960,0.0033654,0.116395037,0.0287297,0.0136054,FALSE
1961,0.2663771,0.020609208,0.0235249,0.0067114,FALSE
1962,-0.0881146,0.056935441,0.0277237,0.0133333,TRUE
1963,0.2261193,0.016841621,0.0315602,0.0164474,TRUE
1964,0.1641546,0.037280649,0.0354574,0.0097087,FALSE
1965,0.1239924,0.007188551,0.0394908,0.0192308,TRUE
1966,-0.0997095,0.029079409,0.0485572,0.0345912,TRUE
1967,0.2380297,-0.01580621,0.0429345,0.0303951,FALSE
1968,0.1081486,0.032746197,0.053376,0.0471976,TRUE
1969,-0.0824137,-0.050140493,0.0666847,0.0619718,FALSE
1970,0.0356114,0.167547372,0.06391,0.0557029,FALSE
1971,0.1422115,0.097868966,0.0433426,0.0326633,TRUE
1972,0.1875536,0.028184491,0.0406184,0.0340633,TRUE
1973,-0.1430805,0.036586646,0.0703544,0.0870588,TRUE
1974,-0.2590179,0.019886087,0.0784578,0.1233766,TRUE
1975,0.3699514,0.036052536,0.0578639,0.0693642,FALSE
1976,0.23831,0.159845607,0.049766,0.0486486,FALSE
1977,-0.069797,0.012899606,0.0526096,0.0670103,FALSE
1978,0.0650928,-0.007775807,0.0717831,0.0901771,FALSE
1979,0.1851949,0.006707203,0.1005427,0.1329394,TRUE
1980,0.3173525,-0.029897443,0.1139188,0.125163,TRUE
1981,-0.0470239,0.081992153,0.1403618,0.0892236,FALSE
1982,0.2041906,0.328145495,0.1060341,0.0382979,TRUE
1983,0.2233716,0.032002094,0.0861764,0.0379098,TRUE
1984,0.0614614,0.137333643,0.0954028,0.0394867,FALSE
1985,0.3123515,0.257124882,0.0747113,0.0379867,TRUE
1986,0.1849458,0.242842151,0.0596928,0.010979,FALSE
1987,0.0581272,-0.049605089,0.0577736,0.0443439,FALSE
1988,0.1653719,0.082235958,0.0666844,0.0441941,FALSE
1989,0.3147518,0.176936472,0.0811156,0.046473,TRUE
1990,-0.0306445,0.062353753,0.0749648,0.0610626,FALSE
1991,0.3023484,0.1500451,0.053756,0.0306428,TRUE
1992,0.0749373,0.093616373,0.0343131,0.0290065,FALSE
1993,0.0996705,0.142109576,0.0299712,0.0274841,TRUE
1994,0.0132592,-0.080366556,0.0425225,0.026749,FALSE
1995,0.371952,0.234807801,0.054896,0.0253841,FALSE
1996,0.2268097,0.014286078,0.050054,0.0332248,TRUE
1997,0.3310365,0.099391303,0.0506208,0.017024,FALSE
1998,0.2833795,0.149214319,0.0477596,0.016119,FALSE
1999,0.2088535,-0.082542148,0.0463841,0.0268456,TRUE
2000,-0.0903182,0.166552671,0.058198,0.0338681,TRUE
2001,-0.1184976,0.055721812,0.0339935,0.0155172,TRUE
2002,-0.2196605,0.151164004,0.0160532,0.0237691,TRUE
2003,0.283558,0.003753186,0.0100836,0.0187949,FALSE
2004,0.1074278,0.044906837,0.0137464,0.0325556,TRUE
2005,0.0483448,0.02867533,0.0314916,0.0341566,FALSE
2006,0.1561256,0.019610012,0.0473,0.0254065,TRUE
2007,0.0548474,0.102099219,0.0436195,0.0408127,FALSE
2008,-0.3655234,0.201012799,0.0137131,0.0009141,TRUE
2009,0.2593523,-0.111166953,0.0015052,0.0272133,FALSE
2010,0.1482109,0.084629339,0.0013845,0.0149572,TRUE
2011,0.0209837,0.16035335,0.0005284,0.0296242,FALSE
2012,0.1589059,0.02971572,0.000876,0.0174102,FALSE
2013,0.3214509,-0.091045688,0.0005708,0.0150174,TRUE
2014,0.1352442,0.107461805,0.0003272,0.0075649,TRUE
2015,0.0137889,0.012842997,0.0005203,0.0072952,FALSE
2016,0.1177308,0.006905505,0.0031612,0.0207462,TRUE
2017,0.2160548,0.028017163,0.0093412,0.0210908,TRUE
2018,-0.0422687,-0.000166924,0.0193631,0.0191016,FALSE
2019,0.3121168,0.096356307,0.0206248,0.0228513,TRUE
2020,0.180232,0.113318976,0.0035474,0.0136201,FALSE
2021,0.2846885,-0.044160344,0.0004502,0.070364,FALSE
2022,-0.1803751,-0.178281715,0.0202478,0.064544,TRUE
2023,0.2606068,0.0388,0.0507036,0.0335212,FALSE
2024,0.2487861,-0.016371801,0.0497,0.0275,FALSE
