Year,Stocks,Cash,Inflation,Downside,Stocks_monthly,Cash_monthly,Inflation_monthly
1928,0.4381116,0.0308,-0.0115607,FALSE,0.030740599,0.002531131,-0.000968534
1929,-0.0829795,0.0316,0.005848,TRUE,-0.007192795,0.002595947,0.000486032
1930,-0.2512364,0.0455,-0.0639535,TRUE,-0.023822649,0.00371482,-0.005492372
1931,-0.4383755,0.0231,-0.0931677,TRUE,-0.046939427,0.001904915,-0.008116692
1932,-0.0864236,0.0107,-0.1027397,TRUE,-0.007504059,0.000887323,-0.008993421
1933,0.4998223,0.0096,0.0076336,FALSE,0.034355871,0.000796501,0.000633918
1934,-0.0118857,0.0027833,0.0151515,FALSE,-0.000995912,0.000231646,0.001253941
1935,0.4674042,0.001675,0.0298507,FALSE,0.032474054,0.000139476,0.00245416
1936,0.3194341,0.001725,0.0144928,TRUE,0.023369121,0.000143636,0.001199784
1937,-0.3533673,0.0027583,0.0285714,TRUE,-0.035679339,0.000229568,0.002350328
1938,0.2928265,0.00065,-0.0277778,TRUE,0.021633253,5.41505E-05,-0.002344822
1939,-0.0109756,0.0004583,0,FALSE,-0.000919267,3.81836E-05,0
1940,-0.1067287,0.0003583,0.0071429,TRUE,-0.009361319,2.98534E-05,0.000593302
1941,-0.1277146,0.0012917,0.0992908,TRUE,-0.01132197,0.000107578,0.007919969
1942,0.1917376,0.003425,0.0903226,TRUE,0.014725062,0.00028497,0.007232161
1943,0.2506131,0.0038,0.0295858,FALSE,0.018810896,0.000316116,0.00243267
1944,0.1903068,0.0038,0.0229885,TRUE,0.014623483,0.000316116,0.001895815
1945,0.3582108,0.0038,0.0224719,FALSE,0.025842289,0.000316116,0.001853643
1946,-0.0842915,0.0038,0.1813187,TRUE,-0.007311242,0.000316116,0.013982804
1947,0.052,0.0060083,0.0883721,FALSE,0.004233362,0.000499318,0.007081883
1948,0.0570458,0.01045,0.0299145,FALSE,0.004633873,0.00086669,0.002459335
1949,0.1830322,0.01115,-0.0207469,FALSE,0.014105288,0.000924452,-0.00174557
